State,City,Turnout
Alabama,Birmingham,7500
Alabama,Huntsville,100
Alabama,Mentone,70
Alabama,Mobile,950
Alaska,Adak,10
Alaska,Anchorage,3500
Alaska,Bethel,60
Alaska,Cordova,100
Alaska,Craig,25
Alaska,Fairbanks,2000
Alaska,Gustavus,100
Alaska,Haines,150
Alaska,Homer,900
Alaska,Juneau,1000
Alaska,Ketchikan,220
Alaska,Kodiak,330
Alaska,Kotzebue,36
Alaska,Moose Pass,15
Alaska,Nome,100
Alaska,Palmer,950
Alaska,Seldovia,45
Alaska,Seward,62
Alaska,Sitka,700
Alaska,Skagway,112
Alaska,Soldotna,261
Alaska,Talkeetna,80
Alaska,Unalakleet,38
Alaska,Utqiagvik (Barrow),60
Alaska,Valdez,120
Arizona,Flagstaff,1600
Arizona,Green Valley,400
Arizona,Phoenix,20000
Arizona,Prescott,1200
Arizona,Tucson,15000
Arizona,Yuma,250
Arkansas,Bentonville,500
Arkansas,Fayetteville,100
Arkansas,Little Rock,7000
California,Albany,500
California,Avalon,44
California,Berkeley,600
California,Beverly Hills,275
California,Bishop,580
California,Borrego Springs,145
California,Burbank,300
California,Chico,300
California,Compton,0
California,El Centro,100
California,Encinitas,50
California,Eureka,6500
California,Fairfax,42
California,Fort Bragg,2650
California,Fresno,2000
California,Gualala,300
California,Hemet,100
California,Kings Beach,650
California,Laguna Beach,250
California,Laytonville,0
California,Lompoc,300
California,Long Beach,200
California,Los Angeles,750000
California,Modesto,1000
California,Monterey Bay,1500
California,Mt. Shasta,400
California,Napa,3000
California,Nevada City,100
California,Oakhurst,200
California,Oakland,100000
California,Ontario,200
California,Palm Desert,1000
California,Palmdale,24
California,Pasadena,500
California,Redding,300
California,Redondo Beach,1800
California,Redwood City,5000
California,Ridgecrest,190
California,Riverside,4000
California,Sacramento,20000
California,San Bernardino,80
California,San Clemente,300
California,San Diego,45000
California,San Francisco,125000
California,San Jose,25000
California,San Luis Obispo,8500
California,San Marcos,6500
California,Santa Ana,22500
California,Santa Barbara,6000
California,Santa Cruz,15000
California,Santa Rosa,5000
California,Seaside,1750
California,Sonoma,3000
California,South Lake Tahoe,600
California,Ukiah,2000
California,Vallejo,40
California,Ventura,2500
California,Visalia,500
California,Walnut Creek,10000
California,Watsonville,400
California,Willits,60
California,Yucca Valley,100
Colorado,Alamosa,350
Colorado,Aspen,750
Colorado,Broomfield,200
Colorado,Carbondale,250
Colorado,Colorado Springs,7000
Colorado,Cortez,452
Colorado,Crested Butte,375
Colorado,Denver,150000
Colorado,Durango,100
Colorado,Glenwood Springs,100
Colorado,Grand Junction,1000
Colorado,Lafayette,89
Colorado,Ridgway,50
Colorado,Silverton,33
Colorado,Steamboat Springs,1000
Colorado,Telluride,600
Connecticut,East Haddam,300
Connecticut,Hartford,10000
Connecticut,New Haven,200
Connecticut,Old Saybrook,1000
Connecticut,Salisbury,500
Connecticut,Stamford,5000
Delaware,Lewes,250
Delaware,Newark,1000
Florida,Boca Raton,120
Florida,Daytona Beach,100
Florida,Fernandina Beach,1150
Florida,Gainesville,1500
Florida,Jacksonville,2500
Florida,Key West,3200
Florida,Melbourne,500
Florida,Miami,10000
Florida,Miami Beach,0
Florida,Naples,2500
Florida,New Smyrna Beach,1000
Florida,Ocala,300
Florida,Orlando,1000
Florida,Panama City,500
Florida,Pensacola,2000
Florida,Sarasota,10000
Florida,St. Augustine,2000
Florida,St. Petersburg,20000
Florida,Tallahassee,14000
Florida,West Palm Beach,6000
Georgia,Athens,700
Georgia,Atlanta,60000
Georgia,Augusta,600
Georgia,Savannah,1000
Georgia,Statesboro,200
Georgia,Zebulon,35
Guam,Hagåtña,100
Hawaii,Hilo,1750
Hawaii,Honolulu (Oahu),5500
Hawaii,Kahului,1750
Hawaii,Kawaihae,50
Hawaii,Kona,3250
