State,City,Turnout,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
Alabama,Birmingham,7500,33.456412,-86.801904,1,place,,,,,Birmingham,AL,"Jefferson County",35201,US,"TIGER/Line® dataset from the US Census Bureau"
Alabama,Huntsville,100,34.718428,-86.556439,1,place,,,,,Huntsville,AL,"Madison County",35801,US,"TIGER/Line® dataset from the US Census Bureau"
Alabama,Mentone,70,34.556856,-85.578584,1,place,,,,,Mentone,AL,"DeKalb County",35984,US,"TIGER/Line® dataset from the US Census Bureau"
Alabama,Mobile,950,30.701142,-88.103184,1,place,,,,,Mobile,AL,"Mobile County",36601,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Adak,10,51.829438,-176.629994,1,place,,,,,Adak,AK,"Aleutians West Census Area",99546,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Anchorage,3500,61.220018,-149.855702,1,place,,,,,Anchorage,AK,"Anchorage Municipality",99501,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Bethel,60,60.79222,-161.75583,1,place,,,,,Bethel,AK,"Bethel Census Area",99559,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Cordova,100,60.536166,-145.75335,1,place,,,,,Cordova,AK,"Valdez-Cordova Census Area",99574,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Craig,25,55.513301,-133.117022,1,place,,,,,Craig,AK,,99921,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Fairbanks,2000,67.094545,-149.336012,1,place,,,,,Fairbanks,AK,"Fairbanks North Star Borough",99701,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Gustavus,100,58.41333,-135.73694,1,place,,,,,Gustavus,AK,,99826,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Haines,150,59.312688,-135.681153,1,place,,,,,Haines,AK,"Haines Borough",99827,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Homer,900,59.6425,-151.54833,1,place,,,,,Homer,AK,"Kenai Peninsula Borough",99603,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Juneau,1000,58.373561,-134.523946,1,place,,,,,Juneau,AK,"Juneau City and Borough",99801,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Ketchikan,220,55.400674,-131.67409,1,place,,,,,Ketchikan,AK,"Ketchikan Gateway Borough",99901,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Kodiak,330,57.613209,-153.403556,1,place,,,,,Kodiak,AK,"Kodiak Island Borough",99615,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Kotzebue,36,66.865256,-161.780844,1,place,,,,,Kotzebue,AK,"Northwest Arctic Borough",99752,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,"Moose Pass",15,60.5,-149.44469,1,place,,,,,"Moose Pass",AK,"Kenai Peninsula Borough",99631,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Nome,100,64.50111,-165.40639,1,place,,,,,Nome,AK,"Nome Census Area",99762,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Palmer,950,61.59972,-149.11278,1,place,,,,,Palmer,AK,"Matanuska-Susitna Borough",99645,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Seldovia,45,59.449486,-151.700915,1,place,,,,,Seldovia,AK,"Kenai Peninsula Borough",99663,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Seward,62,60.25281,-149.402123,1,place,,,,,Seward,AK,"Kenai Peninsula Borough",99664,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Sitka,700,57.080818,-135.318348,1,place,,,,,Sitka,AK,"Sitka City and Borough",99835,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Skagway,112,59.456753,-135.314852,1,place,,,,,Skagway,AK,,99840,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Soldotna,261,60.48778,-151.05833,1,place,,,,,Soldotna,AK,"Kenai Peninsula Borough",99669,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Talkeetna,80,62.280436,-149.715167,1,place,,,,,Talkeetna,AK,"Matanuska-Susitna Borough",99676,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Unalakleet,38,63.87306,-160.78806,1,place,,,,,Unalakleet,AK,"Nome Census Area",99684,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,"Utqiagvik (Barrow)",60,71.29058,-156.78872,1,place,,,,,Barrow,AK,"North Slope Borough",99723,US,"TIGER/Line® dataset from the US Census Bureau"
Alaska,Valdez,120,61.13083,-146.34833,1,place,,,,,Valdez,AK,"Valdez-Cordova Census Area",99686,US,"TIGER/Line® dataset from the US Census Bureau"
Arizona,Flagstaff,1600,35.287661,-111.639303,1,place,,,,,Flagstaff,AZ,"Coconino County",86001,US,"TIGER/Line® dataset from the US Census Bureau"
Arizona,"Green Valley",400,31.838223,-110.955483,1,place,,,,,"Green Valley",AZ,"Pima County",85614,US,"TIGER/Line® dataset from the US Census Bureau"
Arizona,Phoenix,20000,33.703967,-112.351835,1,place,,,,,Phoenix,AZ,"Maricopa County",85001,US,"TIGER/Line® dataset from the US Census Bureau"
Arizona,Prescott,1200,34.591349,-112.426312,1,place,,,,,Prescott,AZ,"Yavapai County",86301,US,"TIGER/Line® dataset from the US Census Bureau"
Arizona,Tucson,15000,32.217975,-110.970869,1,place,,,,,Tucson,AZ,"Pima County",85701,US,"TIGER/Line® dataset from the US Census Bureau"
Arizona,Yuma,250,32.701461,-114.657232,1,place,,,,,Yuma,AZ,"Yuma County",85364,US,"TIGER/Line® dataset from the US Census Bureau"
Arkansas,Bentonville,500,36.347107,-94.223419,1,place,,,,,Bentonville,AR,"Benton County",72712,US,"TIGER/Line® dataset from the US Census Bureau"
Arkansas,Fayetteville,100,35.974602,-94.190997,1,place,,,,,Fayetteville,AR,"Washington County",72701,US,"TIGER/Line® dataset from the US Census Bureau"
Arkansas,"Little Rock",7000,34.746905,-92.280049,1,place,,,,,"Little Rock",AR,"Pulaski County",72201,US,"TIGER/Line® dataset from the US Census Bureau"
California,Albany,500,37.889525,-122.29828,1,place,,,,,Albany,CA,"Alameda County",94706,US,"TIGER/Line® dataset from the US Census Bureau"
California,Avalon,44,33.34281,-118.32785,1,place,,,,,Avalon,CA,"Los Angeles County",90704,US,"TIGER/Line® dataset from the US Census Bureau"
